0.000	0.000
0.130	0.000
0.246	0.000
0.362	0.000
0.478	0.000
0.609	0.000
0.710	0.000
0.826	0.000
0.942	0.000
1.058	0.000
1.174	0.000
1.290	0.003
1.420	0.020
1.522	0.054
1.638	0.147
1.768	0.286
1.884	0.457
2.000	0.617
2.116	0.736
2.232	0.823
2.348	0.869
2.464	0.898
2.580	0.923
2.696	0.932
2.812	0.952
2.928	0.911
3.043	0.919
3.159	0.945
3.275	0.953
3.391	0.959
3.493	0.961
3.623	0.964
3.739	0.961
3.855	0.888
3.971	0.568
4.087	0.271
4.203	0.131
4.319	0.067
4.435	0.037
4.551	0.019
4.667	0.016
4.783	0.010
4.899	0.007
5.014	0.006
5.130	0.006
5.246	0.003
5.362	0.002
5.478	0.002
5.609	0.002
5.725	0.001
5.841	0.001
5.957	0.001
6.072	0.000
6.174	0.000
6.304	0.000
6.420	0.000
6.536	0.000
6.652	0.000
6.768	0.000
6.884	0.000
