0.000	0.000
0.130	0.000
0.246	0.000
0.377	0.000
0.493	0.000
0.609	0.000
0.725	0.000
0.841	0.000
0.986	0.000
1.101	0.000
1.217	0.000
1.304	0.003
1.464	0.020
1.565	0.028
1.681	0.034
1.797	0.063
1.928	0.112
2.043	0.158
2.174	0.201
2.290	0.265
2.406	0.344
2.522	0.428
2.638	0.503
2.754	0.578
2.884	0.607
3.014	0.648
3.116	0.706
3.246	0.749
3.362	0.786
3.478	0.806
3.594	0.722
3.710	0.494
3.826	0.307
3.957	0.173
4.072	0.117
4.203	0.094
4.319	0.076
4.435	0.064
4.551	0.049
4.667	0.043
4.783	0.042
4.913	0.036
5.029	0.036
5.145	0.030
5.261	0.029
5.391	0.026
5.493	0.023
5.623	0.022
5.739	0.022
5.855	0.019
5.986	0.016
6.101	0.015
6.217	0.015
6.348	0.012
6.464	0.011
6.580	0.000
6.696	0.000
6.826	0.000
6.928	0.000
